WRB_PHASES,WRB4,WRB2,FAO90,ROOT_DEPTH,PHASE1,PHASE2,ROOTS,IL,SWR,DRAINAGE,AWC,ADD_PROP,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
RGdy,RGdy,RG,RGd,1.0,,,1.0,1.0,,MW,133.0,0.0,D1,0,20,9,54,30,16,11.0,M,1.58,1.64,1.159,5.3000002,0.94,12,12,40,10,8,61,5,2,0.0,2.9000001,1
FRxa,FRxa,FR,FRx,,,,,,,MW,,0.0,D4,60,80,5,58,10,32,10.0,M,1.27,1.88,0.324,4.8000002,0.43000001,10,5,13,1,1,10,36,2,0.0,0.0,0
SCha,SCha,SC,SCh,,,,3.0,3.0,3.0,MW,,0.0,D7,150,200,25,51,28,21,9.0,M,1.55,1.73,0.113,8.3999996,0.27000001,11,16,72,58,58,100,0,48,6.5999999,9.6999998,19
LVcc,LVcc,LV,LVk,,,,1.0,1.0,1.0,MW,,0.0,D4,60,80,28,36,33,31,5.0,M,1.42,1.86,0.505,8.0,0.50999999,8,19,63,31,31,100,0,1,22.200001,0.30000001,1
HScr,CRhi,CR,HSi,,,,4.0,4.0,4.0,VP,,2.0,D2,20,40,5,26,54,20,7.0,M,0.55000001,1.7,23.014,6.5999999,10.4,14,52,76,43,46,82,0,1,0.0,0.1,1
PLdy,PLdy,PL,PLd,,,,3.0,3.0,3.0,P,,0.0,D5,80,100,8,38,21,41,3.0,F,1.5599999,1.95,0.27000001,5.1999998,0.38,9,15,29,14,6,45,5,4,0.0,0.0,0
GLdy,GLdy,GL,GLd,,,,3.0,1.0,4.0,VP,,0.0,D4,60,80,11,23,42,35,5.0,F,1.3099999,1.89,0.189,5.1999998,0.57999998,7,14,39,8,5,47,43,1,0.0,0.0,0
HSsa,HSsa,HS,HSs,,,,,,,VP,,0.0,D6,100,150,15,63,26,11,11.0,M,0.83999997,1.52,33.048,5.4000001,9.0699997,18,51,74,35,49,74,4,3,0.0,0.0,1
HSfi,HSfi,HS,HSf,,,,1.0,2.0,4.0,VP,,0.0,D2,20,40,8,30,36,34,5.0,M,0.34999999,1.88,38.515999,4.1999998,11.62,25,78,63,43,41,54,4,1,0.0,0.0,1
UMcm,UMcm,UM,CMu,,,,1.0,1.0,1.0,MW,,0.0,D5,80,100,29,49,31,20,9.0,M,1.34,1.72,0.74199998,5.4000001,0.76999998,10,14,74,6,3,27,53,1,0.0,4.9000001,0
RGdy,RGdy,RG,RGd,,,,1.0,1.0,,MW,,0.0,D5,80,100,30,61,28,11,11.0,M,1.6,1.52,0.30599999,5.1999998,0.52999997,6,5,48,5,3,41,46,2,0.0,2.3,1
GLcc,GLcc,GL,GLk,,,,1.0,1.0,2.0,VP,,0.0,D2,20,40,14,35,29,36,5.0,F,1.5,1.91,0.419,8.1000004,0.50999999,9,16,37,36,36,100,0,18,19.700001,0.2,1
CMdy,CMdy,CM,CMd,,,,1.0,1.0,2.0,MW,,2.0,D6,100,150,28,61,30,9,11.0,M,1.6799999,1.46,0.164,5.6999998,0.27000001,8,5,50,4,3,60,29,2,0.0,6.3000002,0
STlv,STlv,ST,LVj,,,,1.0,4.0,1.0,P,,0.0,D4,60,80,3,20,47,33,4.0,M,1.6900001,1.86,0.21600001,6.1999998,0.47,6,18,54,17,17,82,0,7,0.0,0.30000001,1
VRcckk,,VR,VRk,,1.0,0.0,,,0.0,P,,3.0,D3,40,60,2,15,32,53,3.0,F,1.86,2.02,0.71599996,7.9000001,0.73000002,10,39,69,59,58,99,0,4,15.2,0.40000001,1
HS,HS,HS,HS,,0.0,0.0,,,0.0,VP,,0.0,D3,40,60,25,40,40,20,9.0,M,0.27000001,1.71,43.497002,5.3000002,17.6,21,90,57,60,62,59,2,1,0.0,0.0,2
ARbr,ARbr,AR,ARb,1.0,,,1.0,1.0,1.0,SE,89.0,2.0,D1,0,20,1,89,7,4,12.0,C,1.55,1.2,0.65600002,6.0999999,0.47,14,5,57,4,4,70,0,2,0.0,0.1,0
HSfi,HSfi,HS,HSf,,,,3.0,1.0,4.0,VP,,0.0,D6,100,150,4,44,27,29,5.0,M,0.38,1.84,34.489998,4.5,10.69,23,60,73,47,45,67,4,1,0.0,0.0,1
GLum,GLum,GL,GLu,,,,,,,VP,,0.0,D6,100,150,19,29,27,44,3.0,F,1.66,1.97,0.86499995,4.9000001,0.86000001,11,14,22,8,8,58,27,3,0.0,0.0,0
LVcc,LVcc,LV,LVk,,,,,,1.0,MW,,0.0,D7,150,200,12,42,35,23,9.0,M,1.53,1.76,0.126,8.3000002,0.28,7,14,65,42,42,100,0,4,27.700001,1.1,1
CMeu,CMeu,CM,CMe,,,,,,1.0,MW,,0.0,D5,80,100,25,44,35,21,9.0,M,1.59,1.73,0.30399999,6.8000002,0.55000001,7,13,65,18,17,88,0,3,6.6999998,2.5,1
ARqg,ARqg,AR,ARl,,,,,,,MW,,0.0,D2,20,40,3,89,5,6,12.0,C,1.48,1.34,0.18799999,5.9000001,0.20999999,9,3,31,3,3,75,6,2,0.0,0.1,0
RGdy,RGdy,RG,RGd,,,,3.0,1.0,,MW,,0.0,D2,20,40,18,56,31,13,11.0,M,1.53,1.58,0.583,5.1999998,0.69,9,7,42,5,3,47,34,1,0.0,2.9000001,1
GLeu,GLeu,GL,GLe,1.0,,,2.0,1.0,2.0,VP,168.0,0.0,D1,0,20,8,24,46,30,5.0,M,1.22,1.84,1.8889999,6.3000002,1.84,10,18,41,18,17,83,0,4,0.0,0.0,1
CMcr,CMcr,CM,CMx,,,,1.0,1.0,4.0,MW,,0.0,D6,100,150,21,46,23,31,10.0,M,1.55,1.86,0.289,7.1999998,0.51999998,7,16,54,18,18,88,0,2,11.4,6.3000002,0
RTgl,RTgl,RT,PDg,1.0,,,1.0,1.0,4.0,P,187.0,2.0,D1,0,20,1,33,50,17,7.0,M,1.48,1.65,2.2719998,5.0999999,2.5999999,11,16,44,12,12,72,14,2,0.0,0.0,0
LXha,LXha,LX,LXh,,0.0,0.0,,,0.0,MW,,0.0,D6,100,150,10,44,16,40,3.0,F,1.53,1.95,0.26800001,6.0,0.40000001,7,7,16,6,5,76,7,2,0.0,0.0,0
PZal,PZal,PZ,PZh,3.0,,,4.0,4.0,,MW,32.0,0.0,D1,0,20,14,54,40,6,11.0,M,1.08,1.3099999,7.217,4.6999998,4.0,18,25,74,10,7,27,33,1,0.0,0.0,0
PHha,PHha,PH,PHh,,,,1.0,1.0,4.0,MW,,2.0,D2,20,40,5,28,45,27,9.0,M,1.47,1.8,1.431,6.4000001,1.38,10,21,62,22,21,92,0,1,0.0,0.0,0
FLdy,FLdy,FL,FLd,3.0,,,5.0,1.0,2.0,MW,42.0,2.0,D1,0,20,7,46,44,10,9.0,M,1.37,1.48,1.094,5.3000002,1.23,11,9,47,7,6,62,17,2,0.0,0.60000002,2
AThy,ATpa&ATtr,AT,ATc,1.0,13.0,,,,,MW,135.0,0.0,D1,0,20,11,38,37,25,9.0,M,1.4,1.78,1.436,6.3000002,1.4,11,15,38,7,7,71,0,3,0.0,0.0,1
HSfi,HSfi,HS,HSf,,,,5.0,1.0,4.0,VP,,0.0,D7,150,200,22,69,21,10,11.0,C,0.23,1.5,37.035,4.5,11.53,27,48,65,44,28,78,1,1,0.0,0.0,0
GLdy,GLdy,GL,GLd,,,,5.0,2.0,1.0,VP,,2.0,D3,40,60,7,22,44,34,5.0,M,1.28,1.88,0.48299998,5.3000002,0.80000001,8,14,39,8,5,36,37,1,0.0,0.0,0
KScc,KScc,KS,KSk,,,,,,1.0,MW,,0.0,D7,150,200,6,30,41,29,5.0,M,1.7,1.83,0.17899999,8.1999998,0.38,6,15,47,57,57,100,0,13,34.099998,6.5,3
